Product ID,Name,Price (₹),MRP (₹),Unit,Assigned Restaurant / Outlet (Type: Grocery / Wedson Restaurant / A.S. Restaurant / Bal Udyan Restaurant),Category Name,Tags,Stock Qty,Is Available (TRUE/FALSE)
cmrlvq7th000204jr4pmfpbbd,"Aloo Paratha (2 Pc)",99,99,"1 Pc","Wedson Restaurant","Fruits & Vegetables","restaurant, breakfast",999,FALSE
cmrlvtp5x000104l7wz43zkxl,"Aloo Paratha with Curd",139,139,"1 Pc","Wedson Restaurant","Fruits & Vegetables","restaurant, breakfast",999,FALSE
cmsdn6ct9000104ji5g9vuc2c,"Amritsari Chole",199,199,"1 Pc","Bal Udyan Restaurant","Fruits & Vegetables","main-course, restaurant",999,TRUE
cmqkyciyn000004iomgn3dk0h,"Arbi (Ghuiya)",35,40,"1 Pc","Grocery / Kirana","Fruits & Vegetables","",98,TRUE
cmsdn9w4r000204k1mjjm29k1,"Bal Udyan Special Paneer",290,290,"1 Pc","Bal Udyan Restaurant","Fruits & Vegetables","main-course, restaurant",999,TRUE
cmqijdhjm000004l1zaxjnje6,"Banana",70,80,"1 Dozen","Grocery / Kirana","Fruits & Vegetables","fresh, fruits, vegetables, breakfast",30,TRUE
cmqkw9dai000004k12ylwet53,"Bhindi",25,30,"1 Pc","Grocery / Kirana","Fruits & Vegetables","",95,TRUE
cmqhz0yci000304jufb2qkdmn,"Blue Lagoon Mojito",80,80,"300 ml","A.S. Restaurant","Fruits & Vegetables","mocktails, mocktails, mocktail, coolers, cooler, mojito, veg, restaurant, restaurant",999,TRUE
cmqktomuu000004l2z5d49u8r,"Bottle guard ( Lauki)",15,20,"1 Pc","Grocery / Kirana","Fruits & Vegetables","",90,TRUE
cmrlwb6au000004l77w8i6gzs,"Bread Omlette ",99,99,"1 Pc","Wedson Restaurant","Fruits & Vegetables","restaurant, breakfast",999,FALSE
cmqifvqlc000004jshcp8b9s2,"Butter Masala Dosa",75,75,"1 Plate","A.S. Restaurant","Fruits & Vegetables","south-indian, south-indian, south indian, dosa, veg, restaurant, restaurant",999,TRUE
cmqifxp7m000104js435y9tki,"Butter Masala Paneer Dosa",90,90,"1 Plate","A.S. Restaurant","Fruits & Vegetables","south-indian, south-indian, south indian, dosa, veg, restaurant, restaurant",999,TRUE
cmrm16cex000104jzrdd5ak3o,"Butter Naan",40,40,"1 Naan","Wedson Restaurant","Fruits & Vegetables","restaurant, roti-naan-kulcha",999,TRUE
cmse8c1sl000604jwjoyutg94,"Butter Naan",30,30,"1 Pc","Bal Udyan Restaurant","Fruits & Vegetables","roti-naan-kulcha, restaurant",999,TRUE
cmqifzr6s000204jsul1rpd2c,"Butter Paneer Dosa",110,110,"1 Plate","A.S. Restaurant","Fruits & Vegetables","south-indian, south-indian, south indian, dosa, veg, restaurant, restaurant",999,TRUE
cmqrr3h59000004jybdt8dzx0,"Butter Paneer Pav bhaji",90,90,"1 Plate","A.S. Restaurant","Fruits & Vegetables","pav-bhaji, pav-bhaji, pav bhaji, pavbhaji, veg, restaurant, restaurant",999,TRUE
cmqifu59o000j04l461989y9s,"Butter Paper Dosa",50,50,"1 Plate","A.S. Restaurant","Fruits & Vegetables","south-indian, south-indian, south indian, dosa, veg, restaurant, restaurant",999,TRUE
cmqrr1vvz000004ldl3husnlc,"Butter Pavbhaji",75,75,"1 Plate","A.S. Restaurant","Fruits & Vegetables","pav-bhaji, pav-bhaji, pav bhaji, pavbhaji, veg, restaurant, restaurant",998,TRUE
cmrss4lo7000304jxv5rckk78,"Butter scotch Shake",119,119,"1 Pc","Wedson Restaurant","Fruits & Vegetables","shake, restaurant",999,TRUE
cmrubtlws000204l1sb2ty6m6,"Butterscotch Cup",19,20,"1 Pc","Bal Udyan Restaurant","Fruits & Vegetables","ice-cream, desserts, kulfi, cones",999,FALSE
cmqhzmodz000104icef59dlgf,"Butterscotch Shake",85,85,"300 ml","A.S. Restaurant","Fruits & Vegetables","shakes, shakes, shake, milkshake, milkshakes, veg, restaurant, restaurant",999,TRUE
cmqku03pl000004l2zfpre4or,"Cabbage  (Bandha)",45,50,"1 pcs","Grocery / Kirana","Fruits & Vegetables","",48,TRUE
cmqkv8bo1000004l5xv73vhgc,"Capsicum (Shimla)",35,40,"1 Pc","Grocery / Kirana","Fruits & Vegetables","",97,TRUE
cmqht67tu000104jmsqnu8acz,"Capsicum Pizza",109,119,"Qty 1","A.S. Restaurant","Fruits & Vegetables","pizza, restaurant",998,TRUE
cmrt07a4f000104jpynr4oqs9,"Capsicum Tomato Onion Pizza ",199,199,"1 Pc","Wedson Restaurant","Fruits & Vegetables","restaurant, pizza",999,TRUE
cmqkvhik6000004l5gb0d05y1,"Carrot ( Gajar)",35,40,"1 Pc","Grocery / Kirana","Fruits & Vegetables","",98,TRUE
cmqky7val000104l8zcpiqth6,"Cauliflower (Gobhi)",70,80,"1 pcs","Grocery / Kirana","Fruits & Vegetables","",0,TRUE
cmsed9oqz000v04kvbp0a07kb,"Cheese Balls",130,130,"1 Pc","Bal Udyan Restaurant","Fruits & Vegetables","starter, restaurant",999,TRUE
cmrt3tslm000504jp5to4241z,"Cheese Burger",79,79,"1 Pc","Wedson Restaurant","Fruits & Vegetables","burger, restaurant",999,TRUE
cmrswq0qj000004lbowxwc4lg,"Cheese Chigar Roll",199,199,"1 Pc","Wedson Restaurant","Fruits & Vegetables","restaurant, starter",999,TRUE
cmsec8orc000004kvgi8ynd10,"Cheese Sigar Roll",140,140,"1 Pc","Bal Udyan Restaurant","Fruits & Vegetables","starter, restaurant",999,TRUE
cmqigj0ck000204l88l6148ni,"Cheeze Baking Pasta",135,135,"1 Plate","A.S. Restaurant","Fruits & Vegetables","italian-pasta, italian-pasta, italian-pastas, italian pasta's, pasta, veg, restaurant, restaurant",999,TRUE
cmqhv443d000204ib5occu1ux,"Cheeze Burger",65,65,"Qty 1","A.S. Restaurant","Fruits & Vegetables","burgers, burgers, burger, veg-burger, cheese-burger, paneer-burger, veg, restaurant, restaurant",999,TRUE
cmqj7ilwq000004l520l9p1a0,"Cheeze Frankie Roll",85,85,"1 Roll","A.S. Restaurant","Fruits & Vegetables","frankie-rolls, frankie-rolls, frankie rolls, frankie-roll, frankie roll, rolls, roll, kathi roll, kathi-roll, veg, restaurant, restaurant",999,TRUE
cmqhxu43w000004l8suhk40k1,"Cheeze Garlic Bread",95,95,"Qty 1 ( 4 pcs)","A.S. Restaurant","Fruits & Vegetables","garlic-bread, garlic-bread, garlic bread, garlic-breads, veg, restaurant, restaurant",999,TRUE
cmqhvqqji000304jx0gvc4fu1,"Cheeze Sandwitch",85,85,"Qty 1","A.S. Restaurant","Fruits & Vegetables","sandwiches, sandwiches, sandwich, veg, restaurant, restaurant",999,TRUE
cmqhthroi000004jm7qs4w6yg,"Cheezy Paneer Pizza",129,139,"Qty 1","A.S. Restaurant","Fruits & Vegetables","pizza, restaurant",998,TRUE
cmqi29esq000104jul11c2g04,"Chili Garlic Noodles",95,95,"1 Plate","A.S. Restaurant","Fruits & Vegetables","chinese, chinese, chinese-cuisine, chinese cuisine, veg, restaurant, restaurant",997,TRUE
cmqjdrdpt000004jsmk69y8tb,"Chili Garlic Rice",95,95,"1 Plate","A.S. Restaurant","Fruits & Vegetables","rice-dishes, rice-dishes, rice dishes, rice-dish, rice dish, biryani, pulav, veg, restaurant, restaurant",999,TRUE
cmqi33m21000004jj1jm44pjh,"Chili Paneer",145,145,"1 Plate","A.S. Restaurant","Fruits & Vegetables","chinese, chinese, chinese-cuisine, chinese cuisine, veg, restaurant, restaurant",999,TRUE
cmqi2saaw000004l79ak7g2sr,"Chili Potato",95,95,"1 Plate","A.S. Restaurant","Fruits & Vegetables","chinese, chinese, chinese-cuisine, chinese cuisine, veg, restaurant, restaurant",996,TRUE
cmrm186ze000004l7yr23turt,"Chilli Garlic Naan",69,69,"1 Naan","Wedson Restaurant","Fruits & Vegetables","restaurant, roti-naan-kulcha",999,TRUE
cmseddpb5000104l4bxq4dz2h,"Chilli Mushroom ",225,225,"1 Pc","Bal Udyan Restaurant","Fruits & Vegetables","starter, restaurant",999,TRUE
cmsedbns5000104l6vltn20ag,"Chilli Paneer",199,199,"1 Plate","Bal Udyan Restaurant","Fruits & Vegetables","starters-tandoori, special-starters, tandoori-nawab-nawab, starter, starters, kebabs, tikka, chaap, veg, restaurant, restaurant",999,TRUE
cmrsrjxhp000204ktwuv4eqxx,"Choclate Shake",113,119,"1 Pc","Wedson Restaurant","Fruits & Vegetables","desserts, shake, shakes, ice-cream",999,TRUE
cmqhzjf0x000004l13sdhh9ws,"Choco Delight",85,85,"300 ml","A.S. Restaurant","Fruits & Vegetables","cold-coffee, cold-coffee, cold coffee, iced coffee, iced-coffee, coldcoffee, shake, shakes, veg, restaurant, restaurant",999,TRUE
cmqhztm5k000004jud47mx8o0,"Chocolate Shake",90,90,"300 ml","A.S. Restaurant","Fruits & Vegetables","shakes, shakes, shake, milkshake, milkshakes, veg, restaurant, restaurant",999,TRUE
cmsdlgl7e000004l2ibqytuun,"Chola Kulcha",110,110,"1 Pc","Bal Udyan Restaurant","Fruits & Vegetables","breakfast, restaurant",999,TRUE
cmrluzvl1000104l6e65kbwvs,"Chola Kulcha ( 2 Pc)",149,149,"1 Pc","Wedson Restaurant","Fruits & Vegetables","restaurant, breakfast",999,FALSE
cmsdlhz7j000304l266vxi7sp,"Chola Paneer Kulcha",129,129,"1 Pc","Bal Udyan Restaurant","Fruits & Vegetables","breakfast, restaurant",999,TRUE
cmsdl3o7z000104kyfe3g61yg,"Chole Bhature",110,110,"2 pc","Bal Udyan Restaurant","Fruits & Vegetables","breakfast, paratha, poori, chole-bhature, nashta, poha, veg, restaurant",997,TRUE
cmrluylaw000004l6vf9rhjgc,"Chole Bhature (2Pc)",129,129,"1 Pc","Wedson Restaurant","Fruits & Vegetables","restaurant, breakfast",999,FALSE
cmqhykgmz000004jucm99q59h,"Classic Cold Coffee",60,60,"300ml","A.S. Restaurant","Fruits & Vegetables","shakes, shakes, shake, milkshake, milkshakes, veg, restaurant, restaurant",990,TRUE
cmqhe2f60000004js1qdbd61j,"Coca Cola ",29,30,"1 Can","Bal Udyan Restaurant","Fruits & Vegetables","beverages, chilled, drinks, soft-drink",999,FALSE
cmrsxo4uk000404l9roou2ogp,"Corn Cheese Ball",149,149,"1 Pc","Wedson Restaurant","Fruits & Vegetables","restaurant, starter",999,TRUE
cmrt08rum000204jpj1zgzdu6,"Corn Cheese Pizza",199,199,"1 Pc","Wedson Restaurant","Fruits & Vegetables","pizza, restaurant",999,TRUE
cmsecxl1j000504kvmtkvqrms,"Corn Cheeze Ball",130,130,"1 Pc","Bal Udyan Restaurant","Fruits & Vegetables","starter, restaurant",999,TRUE
cmqhv7a50000104jxa8x5anbw,"Corn Cheeze Burger",80,80,"Qty 1","A.S. Restaurant","Fruits & Vegetables","burgers, burgers, burger, veg-burger, cheese-burger, paneer-burger, veg, restaurant, restaurant",999,TRUE
cmqhxvnfr000004jxq2npqa3s,"Corn Cheeze Garlic Bread",105,105,"Qty 1 (4 Pcs)","A.S. Restaurant","Fruits & Vegetables","garlic-bread, garlic-bread, garlic bread, garlic-breads, veg, restaurant, restaurant",999,TRUE
cmqhvw0f8000104i8i4549ujo,"Corn Cheeze Sandwitch",90,90,"Qty 1","A.S. Restaurant","Fruits & Vegetables","sandwiches, sandwiches, sandwich, veg, restaurant, restaurant",999,TRUE
cmseeaqi9000304jy6sxl6y0t,"Crispy Corn ",149,149,"1 Pc","Bal Udyan Restaurant","Fruits & Vegetables","starter, restaurant",999,TRUE
cmqknhwh9000004i82podj2w7,"Cucumber  (Kheera)",70,80,"1 pc","Grocery / Kirana","Fruits & Vegetables","",100,TRUE
cmsedk7o0000404jpja0plzms,"Dahi ke Kabab",149,149,"1 Pc","Bal Udyan Restaurant","Fruits & Vegetables","starter, restaurant",999,TRUE
cmru4tsz7000c04jovcpga6h3,"Dahi ke Kebab",199,199,"1 Pc","Wedson Restaurant","Fruits & Vegetables","restaurant, special-starters",999,TRUE
cmsegqv52000d04ju3hizxhs5,"Dal Fry",120,120,"1 Pc","Bal Udyan Restaurant","Fruits & Vegetables","dal, restaurant",999,TRUE
cmrmgwve5000104lexwyi9zib,"Dal Fry",139,139,"1 Pc","Wedson Restaurant","Fruits & Vegetables","restaurant, dal",998,TRUE
cmrmh8a1c000004l182ri9eo8,"Dal Jeera Se",149,149,"1 Pc","Wedson Restaurant","Fruits & Vegetables","dal, restaurant",999,TRUE
cmrmgyxvq000204jspcd2gq1i,"Dal Makhani",219,219,"1 Pc","Wedson Restaurant","Fruits & Vegetables","restaurant, dal",999,TRUE
cmsegs7fw000i04juj0rlaxhq,"Dal Makhani ",180,180,"1 Pc","Bal Udyan Restaurant","Fruits & Vegetables","dal, restaurant",999,TRUE
cmrmgxs81000104jssg6x3tdb,"Dal tadka",169,169,"1 Pc","Wedson Restaurant","Fruits & Vegetables","restaurant, dal",999,TRUE
cmsegrkv9000g04jufcn3b1v5,"Dal Tadka",149,149,"1 Pc","Bal Udyan Restaurant","Fruits & Vegetables","dal, restaurant",999,TRUE
cmqhtemk7000004i6oc8bc5ee,"Desi Style Pizza",129,139,"Qty 1","A.S. Restaurant","Fruits & Vegetables","pizza, restaurant",999,TRUE
cmrt3sf7u000204jpvz39vqv7,"Double Tikki Burger ",89,89,"1 Pc","Wedson Restaurant","Fruits & Vegetables","burger, restaurant",999,TRUE
cmqj19zrs000004lb405f3g1n,"Dragon Fruit ",80,85,"1 pc ","Grocery / Kirana","Fruits & Vegetables","fresh, fruits, vegetables",47,TRUE
cmqrr4sb4000104jy5bossral,"Extra Pav",25,39,"1 Pav ( 3Pcs)","A.S. Restaurant","Fruits & Vegetables","pav-bhaji, restaurant",999,TRUE
cmsee6l2f000104jytdauw6o0,"Extra Pav ",30,30,"1 Pc","Bal Udyan Restaurant","Fruits & Vegetables","starter, restaurant",999,TRUE
cmsecwr2g000404kvj5uc0tr2,"French Fries ",79,79,"1 Pc","Bal Udyan Restaurant","Fruits & Vegetables","starter, restaurant",999,TRUE
cmqi40nph000204l4doqm7pvl,"French Fries/ Finger",50,50,"1 Plate","A.S. Restaurant","Fruits & Vegetables","hot-bite, hot-bite, snacks, momos, veg, restaurant, restaurant",997,TRUE
cmqij41kj000004l7zi217u83,"Fresh Apples",230,250,"1 kg","Grocery / Kirana","Fruits & Vegetables","fresh, fruits, vegetables, breakfast",37,TRUE
cmqkvkbn2000104l5tksmvbmy,"Garlic (Lahsun)",65,80,"1 Pc","Grocery / Kirana","Fruits & Vegetables","",30,TRUE
cmrm178zr000204jzhwyifbf4,"Garlic Naan",59,59,"1 Naan","Wedson Restaurant","Fruits & Vegetables","restaurant, roti-naan-kulcha",999,TRUE
cmse8ki1y000404lalyxste54,"Garlic Naan",50,50,"1 Pc","Bal Udyan Restaurant","Fruits & Vegetables","roti-naan-kulcha, restaurant",999,TRUE
cmqknppqv000004i8rog9jorb,"Ginger (Adrak)",50,60,"1 pc","Grocery / Kirana","Fruits & Vegetables","",97,TRUE
cmqj1djwx000104lbs9z4mcr9,"Grapes(Angoor)",160,165,"1kg","Grocery / Kirana","Fruits & Vegetables","",47,TRUE
cmqhz56ri000004juemwv5bqn,"Green Apple Mojito",80,80,"300 ml","A.S. Restaurant","Fruits & Vegetables","mocktails, mocktails, mocktail, coolers, cooler, mojito, veg, restaurant, restaurant",999,TRUE
cmqkwd383000004l1c9xtga57,"Green Brinjal (Baigan)",25,30,"1 Pc","Grocery / Kirana","Fruits & Vegetables","",96,TRUE
cmqktjc3n000004ldxa279qoe,"Green Chili (Hari Mirch)",25,30,"1 Pc","Grocery / Kirana","Fruits & Vegetables","",96,TRUE
cmqktxom8000004ibncjatoqx,"Green Corriander (Hari Dhaniya)",15,20,"1 Pc","Grocery / Kirana","Fruits & Vegetables","",137,TRUE
cmqhyzera000204juu848lxrz,"Green Mint Mojito",80,80,"300 ml","A.S. Restaurant","Fruits & Vegetables","mocktails, mocktails, mocktail, coolers, cooler, mojito, veg, restaurant, restaurant",999,TRUE
cmrz8g1uk000g04l7jjp3mmy6,"Hakka Noodles",159,159,"1 Pc","Wedson Restaurant","Fruits & Vegetables","restaurant, special-starters",999,TRUE
cmqi1vyf3000004l8lf96p8qt,"Hakka Noodles",85,85,"1 Plate","A.S. Restaurant","Fruits & Vegetables","chinese, chinese, chinese-cuisine, chinese cuisine, veg, restaurant, restaurant",999,TRUE
cmsdmpw6v000204lesdu8r1yy,"Handi Paneer",249,249,"1 Pc","Bal Udyan Restaurant","Fruits & Vegetables","restaurant, main-course",998,TRUE
cmrlmq9ia000904l58smri8vt,"Handi Paneer",299,299,"1 Pc","Wedson Restaurant","Fruits & Vegetables","restaurant, main-course",999,TRUE
cmsechdyg000304jok87rnrqw,"Hara Bhara Kabab ",140,140,"1 Pc","Bal Udyan Restaurant","Fruits & Vegetables","starter, restaurant",999,TRUE
cmru4yl1q000304i8zehivp8a,"Hariyali Paneer Tikka",219,219,"1 Pc","Wedson Restaurant","Fruits & Vegetables","special-starters, restaurant",999,TRUE
cmsedhkb1000404l4l8hbmoll,"Honey Chilli Potato ",169,169,"1 Pc","Bal Udyan Restaurant","Fruits & Vegetables","starter, restaurant",999,TRUE
cmrmfmc32000205jso77x37o0,"Hydrabadi Handi Biryani ",249,249,"1 Pc","Wedson Restaurant","Fruits & Vegetables","restaurant, basmati-rice-/-biryani",999,TRUE
cmqhtp68g000004i6zpv2x2vs,"Italian Pizza",129,139,"Qty 1","A.S. Restaurant","Fruits & Vegetables","pizza, restaurant",999,TRUE
cmrmf3dma000104joh21t7a2b,"Jeera Rice",129,129,"1 Pc","Wedson Restaurant","Fruits & Vegetables","restaurant, basmati-rice-/-biryani",999,TRUE
cmrlmvzcb000004l56sy2t36p,"Kadhai Mushroom ",249,249,"1 Pc","Wedson Restaurant","Fruits & Vegetables","restaurant, main-course",999,TRUE
cmrlmx4xa000104l5s7bvtwfg,"Kadhai Paneer",249,249,"1 Pc","Wedson Restaurant","Fruits & Vegetables","restaurant, main-course",998,TRUE
cmsdmfryt000404l78a0wbwle,"Kadhai Paneer ",239,239,"1 Pc","Bal Udyan Restaurant","Fruits & Vegetables","main-course, restaurant",999,TRUE
cmsszxwzw000204ju8z4ltmp7,"Kiwi",110,120,"4 piece","Grocery / Kirana","Fruits & Vegetables","fresh, produce",95,TRUE
cmse8n44x000704la72kq1nsv,"Lachcha Paratha",30,30,"1 Pc","Bal Udyan Restaurant","Fruits & Vegetables","roti-naan-kulcha, restaurant",999,TRUE
cmrm1cpup000604l7kljgum7w,"Lachha Paratha ",39,39,"1 Paratha","Wedson Restaurant","Fruits & Vegetables","restaurant, roti-naan-kulcha",999,TRUE
cmqkw3x24000004l1iaczr6wx,"Lemon ( Nimboo)",20,25,"1 Pc","Grocery / Kirana","Fruits & Vegetables","",137,TRUE
cmsdlmtfi000904l1plhv5bds,"Maggie",70,70,"1 Pc","Bal Udyan Restaurant","Fruits & Vegetables","breakfast, restaurant",999,TRUE
